ctmmlabel,class,occu,release,count
dp,crop,high,grass,0
dq,edge,low,grass,353
dq,edge,moderate,grass,2
dq,edge,high,grass,0
dq,poor,low,grass,246
dq,poor,moderate,grass,1
dq,poor,high,grass,0
dq,rich,high,grass,5
dq,rich,low,grass,1313
dq,rich,moderate,grass,7
dq,crop,low,grass,0
dq,crop,moderate,grass,0
dq,crop,high,grass,0
dr,poor,low,grass,28
dr,poor,moderate,grass,2
dr,poor,high,grass,0
dr,rich,high,grass,0
dr,rich,low,grass,0
dr,rich,moderate,grass,0
dr,crop,low,grass,0
dr,crop,moderate,grass,0
dr,crop,high,grass,0
dr,edge,low,grass,0
dr,edge,moderate,grass,0
dr,edge,high,grass,0
ds,edge,low,grass,36
ds,edge,moderate,grass,0
ds,edge,high,grass,0
ds,poor,low,grass,26767
ds,poor,moderate,grass,0
ds,poor,high,grass,0
ds,rich,low,grass,17201
ds,rich,moderate,grass,2
ds,rich,high,grass,0
ds,crop,low,grass,0
ds,crop,moderate,grass,0
ds,crop,high,grass,0
ag,crop,low,prairie,1638
ag,crop,moderate,prairie,6
ag,crop,high,prairie,0
ag,edge,low,prairie,132
ag,edge,moderate,prairie,0
ag,edge,high,prairie,0
ag,rich,high,prairie,3
ag,rich,low,prairie,2151
ag,rich,moderate,prairie,30
ag,poor,high,prairie,0
ag,poor,low,prairie,0
ag,poor,moderate,prairie,0
aj,rich,low,prairie,56909
aj,rich,moderate,prairie,2
aj,rich,high,prairie,0
aj,poor,low,prairie,0
aj,poor,moderate,prairie,0
aj,poor,high,prairie,0
aj,crop,low,prairie,0
aj,crop,moderate,prairie,0
aj,crop,high,prairie,0
aj,edge,low,prairie,0
aj,edge,moderate,prairie,0
aj,edge,high,prairie,0
ak,edge,low,prairie,306132
ak,edge,moderate,prairie,3452
ak,edge,high,prairie,0
ak,poor,low,prairie,1186965
ak,poor,moderate,prairie,0
ak,poor,high,prairie,0
ak,rich,high,prairie,55
ak,rich,low,prairie,5000630
ak,rich,moderate,prairie,84711
ak,crop,high,prairie,0
ak,crop,low,prairie,0
