Date,Time,Antenna,Power,Tower,M_ID,Year
8/3/2019,19:03:45,2,70,T3,168,2019
8/3/2019,19:03:48,3,61,T3,168,2019
8/3/2019,19:03:50,3,62,T3,168,2019
8/3/2019,19:03:53,4,57,T3,168,2019
8/3/2019,19:04:06,2,63,T3,168,2019
8/3/2019,19:04:08,2,71,T3,168,2019
8/3/2019,19:04:57,2,64,T3,168,2019
8/3/2019,19:04:58,2,63,T3,168,2019
8/3/2019,19:05:20,2,66,T3,168,2019
8/3/2019,19:05:21,2,66,T3,168,2019
8/3/2019,19:05:23,2,65,T3,168,2019
8/3/2019,19:05:44,2,66,T3,168,2019
8/3/2019,19:05:46,2,66,T3,168,2019
8/3/2019,19:05:47,2,67,T3,168,2019
8/3/2019,19:06:08,2,66,T3,168,2019
8/3/2019,19:06:10,2,67,T3,168,2019
8/3/2019,19:06:12,2,67,T3,168,2019
8/3/2019,19:06:38,2,65,T3,168,2019
8/3/2019,19:06:39,2,65,T3,168,2019
8/3/2019,19:06:41,2,67,T3,168,2019
8/3/2019,19:07:02,2,65,T3,168,2019
8/3/2019,19:07:04,2,66,T3,168,2019
8/3/2019,19:07:05,2,66,T3,168,2019
8/3/2019,19:07:26,2,65,T3,168,2019
8/3/2019,19:07:28,2,66,T3,168,2019
8/3/2019,19:07:30,2,66,T3,168,2019
8/3/2019,19:07:51,2,66,T3,168,2019
8/3/2019,19:07:52,2,66,T3,168,2019
8/3/2019,19:08:13,2,64,T3,168,2019
8/3/2019,19:08:15,2,64,T3,168,2019
8/3/2019,19:08:17,2,64,T3,168,2019
8/3/2019,19:08:38,2,64,T3,168,2019
8/3/2019,19:08:39,2,64,T3,168,2019
8/3/2019,19:08:41,2,65,T3,168,2019
8/3/2019,19:09:02,2,66,T3,168,2019
